station,month,year,depth,chl_a,Ninorg,NH4,NO3,Ntotal,PO4,seston,secchi,salinity
Gradina,7,2013,0,3.253,1.672,0.45,1.2,15.859,0.254,1.24,5,14.7
Gradina,7,2013,5,2.97,1.672,0.4,1.245,18.859,0.299,1.06,5,14.3
Gradina,9,2013,0,2.369,1.249,0.45,0.782,14.144,0.075,2.04,4.2,16.8
Gradina,9,2013,5,2.386,1.508,0.55,0.936,10.375,0.209,1.78,4.2,16.8
Gradina,1,2014,0,2.951,2.484,1.15,1.273,28.021,0.045,0.82,12.5,17.9
Gradina,1,2014,5,1.807,3.752,2.4,1.277,24.646,0.045,1.26,12.5,17.9
Gradina,3,2014,0,3.548,3.219,0.65,2.455,22.419,0.075,1.56,4.5,15.3
Gradina,3,2014,5,6.058,4.013,1,2.864,19.317,0.119,1.9,4.5,15.4
Gradina,5,2014,0,2.574,1.409,0.4,1,16.9,0.164,1.4,5,16.7
Gradina,5,2014,5,2.591,1.572,0.45,1.086,19.24,0.224,1.56,5,16.6
Gradina,6,2014,0,4.148,2.166,0.65,1.459,14.363,0.134,1.68,7,15.4
Gradina,6,2014,5,2.605,1.791,0.8,0.982,14.686,0.209,1.64,7,15.8
Ropotamo,6,2013,0,10.509,2.404,0.3,2.073,27.277,0.448,2.12,NA,16.6
Ropotamo,6,2013,5,4.857,2.543,0.85,1.671,16.99,0.179,1.34,NA,17.3
Ropotamo,1,2014,0,1.976,2.879,0.7,2.091,35.246,0.045,0.96,13,16.9
Ropotamo,1,2014,5,3.207,2.011,0.5,1.432,28.62,0.03,0.58,13,17.7
Ropotamo,3,2014,0,6.484,31.609,3,28.186,37.673,1.552,8.667,2.5,15
Ropotamo,3,2014,5,5.721,5.036,0.65,4.218,16.449,0.09,2.06,2.5,15
Ropotamo,5,2014,0,3.091,1.39,0.4,0.977,20.658,0.97,2.22,4.5,14.7
Ropotamo,5,2014,5,3.246,1.436,0.4,1.027,22.895,0.179,1.56,4.5,16.5
Ropotamo,6,2014,0,2.719,2.136,1.1,1.014,17.303,0.448,2.22,5.5,14.4
Ropotamo,6,2014,5,5.447,1.943,0.8,1.082,14.653,0.328,1.58,5.5,14.5
