station,NH4,NO3,PO4,seston,secchi,LUSI,TOM,moisture_content,gravel,silt_clay
Kraimorie,1.09,2.63,0.34,2.29,3.27,6.25,2.66874301883612,24.9600621305013,29.291081090313,7.48025692808543
Kraimorie,1.09,2.63,0.34,2.29,3.27,6.25,2.66874301883612,24.9600621305013,29.291081090313,7.48025692808543
Kraimorie,1.09,2.63,0.34,2.29,3.27,6.25,2.66874301883612,24.9600621305013,29.291081090313,7.48025692808543
Kraimorie,1.09,2.63,0.34,2.29,3.27,6.25,2.32058513239503,26.3788179132566,34.4206292681571,4.07707472702696
Kraimorie,1.09,2.63,0.34,2.29,3.27,6.25,2.32058513239503,26.3788179132566,34.4206292681571,4.07707472702696
Kraimorie,1.09,2.63,0.34,2.29,3.27,6.25,2.32058513239503,26.3788179132566,34.4206292681571,4.07707472702696
Kraimorie,1.09,2.63,0.34,2.29,3.27,6.25,3.01690090527722,23.5413063477461,24.1615329124688,10.8834391291439
Kraimorie,1.09,2.63,0.34,2.29,3.27,6.25,3.01690090527722,23.5413063477461,24.1615329124688,10.8834391291439
Kraimorie,1.09,2.63,0.34,2.29,3.27,6.25,3.01690090527722,23.5413063477461,24.1615329124688,10.8834391291439
Chukalya,0.96,2.35,0.32,2.42,4.39,4,1.70794643398117,26.4509202839165,19.3405824042086,2.60568751625697
Chukalya,0.96,2.35,0.32,2.42,4.39,4,1.70794643398117,26.4509202839165,19.3405824042086,2.60568751625697
Chukalya,0.96,2.35,0.32,2.42,4.39,4,1.70794643398117,26.4509202839165,19.3405824042086,2.60568751625697
Chukalya,0.96,2.35,0.32,2.42,4.39,4,1.66814061296004,24.3282134254755,10.4236319952602,4.28969168863765
Chukalya,0.96,2.35,0.32,2.42,4.39,4,1.66814061296004,24.3282134254755,10.4236319952602,4.28969168863765
Chukalya,0.96,2.35,0.32,2.42,4.39,4,1.66814061296004,24.3282134254755,10.4236319952602,4.28969168863765
Chukalya,0.96,2.35,0.32,2.42,4.39,4,1.74775225500231,28.5736271423575,11.4191047559361,2.08280838061664
Chukalya,0.96,2.35,0.32,2.42,4.39,4,1.74775225500231,28.5736271423575,11.4191047559361,2.08280838061664
Chukalya,0.96,2.35,0.32,2.42,4.39,4,1.74775225500231,28.5736271423575,11.4191047559361,2.08280838061664
Akin,0.84,2.07,0.27,2.17,5.19,4,1.28455024605646,21.3978697122306,2.04127267680812,3.40942212739688
Akin,0.84,2.07,0.27,2.17,5.19,4,1.28455024605646,21.3978697122306,2.04127267680812,3.40942212739688
Akin,0.84,2.07,0.27,2.17,5.19,4,1.28455024605646,21.3978697122306,2.04127267680812,3.40942212739688
Akin,0.84,2.07,0.27,2.17,5.19,4,1.21644993152362,21.0099610082284,1.21588652743852,2.75624845357642
Akin,0.84,2.07,0.27,2.17,5.19,4,1.21644993152362,21.0099610082284,1.21588652743852,2.75624845357642
Akin,0.84,2.07,0.27,2.17,5.19,4,1.21644993152362,21.0099610082284,1.21588652743852,2.75624845357642
Akin,0.84,2.07,0.27,2.17,5.19,4,1.3526505605893,21.7857784162327,0.303217111500211,1.86647499960996
Akin,0.84,2.07,0.27,2.17,5.19,4,1.3526505605893,21.7857784162327,0.303217111500211,1.86647499960996
Akin,0.84,2.07,0.27,2.17,5.19,4,1.3526505605893,21.7857784162327,0.303217111500211,1.86647499960996
Sozopol,0.66,2.57,0.17,1.48,6.35,2,1.51091761875211,23.4693869695854,0.998920962491548,3.2140110678144
Sozopol,0.66,2.57,0.17,1.48,6.35,2,1.51091761875211,23.4693869695854,0.998920962491548,3.2140110678144
Sozopol,0.66,2.57,0.17,1.48,6.35,2,1.51091761875211,23.4693869695854,0.998920962491548,3.2140110678144
Sozopol,0.66,2.57,0.17,1.48,6.35,2,1.55659074561082,24.4562700511458,1.02889323289929,4.0358255148587
Sozopol,0.66,2.57,0.17,1.48,6.35,2,1.55659074561082,24.4562700511458,1.02889323289929,4.0358255148587
Sozopol,0.66,2.57,0.17,1.48,6.35,2,1.55659074561082,24.4562700511458,1.02889323289929,4.0358255148587
Sozopol,0.66,2.57,0.17,1.48,6.35,2,1.4652444918934,22.4825038880249,0.968948692083806,2.3921966207701
Sozopol,0.66,2.57,0.17,1.48,6.35,2,1.4652444918934,22.4825038880249,0.968948692083806,2.3921966207701
