"q.seq","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54"
0,31,29,33,31,28,28,25,37,32,20,35,30,29,26,23,34,34,32,23,26,21,26,23,25,21,27,24,20,15,17,19,21,17,18,22,24,37,35,43,38,38,38,40,40,43,28,25,36,30,31,28,27,23,23
0.11,27.8345917067426,25.2132921837302,29.8290928842977,27.518806881869,24.3504361730495,25.1749855741794,21.9930320372371,32.5951491065689,28.2017403315202,17.9796202727249,32.2370352004326,27.2547964384025,27.1274111744835,24.0318372060603,21.2438335823752,31.3519959715902,30.7356470256226,28.5265749141799,18.6916950850959,21.3243013964963,17.331061237295,23.2733521910297,20.1164656755577,21.8520573099627,18.2218689919576,22.8677511910697,21.5921628938765,15.7650837262565,12.0126229092739,13.5492265949243,15.668383062045,17.9741397170965,13.7620307070614,14.8318370086855,18.8817386951305,19.1252724141242,34.2472923317709,31.8269827004575,38.1503019145409,35.2663107098137,34.8951388272081,35.2729003017325,35.9421635737117,35.2958964846065,36.3300709450623,25.3372088297136,22.4650859415864,32.5080891548612,27.1712341937795,28.942644098979,25.2989262471147,22.6228635518081,20.5865123120741,20.4462328090777
0.22,24.9442467480116,21.8772006399991,26.8702169283705,24.3255947999051,21.0397444223601,22.5919052147765,19.2812305474545,28.5285785072982,24.7714187573331,16.1610423562612,29.6131929520541,24.7198691814492,25.3399020198639,22.1173418772154,19.5974653400619,28.8850042594266,27.7510436827441,25.3749582715044,15.027182938138,17.3684502878272,14.1742923198091,20.7144959756979,17.4967645934102,18.9802821968839,15.678974126319,19.2285280372897,19.3761913832459,12.0643682472887,9.47042241508692,10.5617670042591,12.6095809667567,15.0985874939722,10.8531111829209,12.1059135680001,16.0636696202733,14.9354601109033,31.6521694174873,28.9594997630281,33.6689657861247,32.6902255753565,32.0270434090689,32.7232787122604,32.2723180883716,31.1096676041644,30.3715768380638,22.7107469954103,20.0914725048012,29.1062451449812,24.2979174116756,26.8290189709083,22.5956207395412,18.5062770481715,18.2480511043519,18.0770835770361
0.33,22.3473559473923,18.9884139183648,24.1483755102602,21.448941503767,18.1047711588415,20.2693158348192,16.8803428511472,24.853414348335,21.7293660415708,14.5476084658154,27.1474719927392,22.4088038730264,23.6521853393971,20.2802719510177,18.0745819123396,26.6150006958507,25.0578426928731,22.5672067177364,12.022478316763,14.113436923496,11.5331718266198,18.3489801080326,15.1656145574228,16.410266068982,13.3954355888052,16.0926559554798,17.3598090138028,9.00166084913191,7.40225471751275,8.0994063797004,9.9213406396277,12.460009498343,8.36612886411004,9.85271497865683,13.5788976372925,11.5047345166571,29.2193378098765,26.3976285860503,29.5948394429227,30.2751545376731,29.4039001456939,30.3602770119671,28.992162354224,27.4283164390925,25.1765913910075,20.1522851609315,17.9009931157081,25.8355900037339,21.4292439659658,24.6774139027941,19.9311616558227,14.7735402459455,16.0214343590415,15.9210121002429
0.44,20.0506700705159,16.5277405973195,21.6813200944248,18.9045043929373,15.5634411413861,18.2145465305989,14.7942291984193,21.6067597311238,19.0804982721575,13.1348275962172,24.8554631551226,20.3280779566523,22.0758905143116,18.5436335486329,16.6844757691126,24.5514182350465,22.6581421218725,20.1096834356628,9.65008027005313,11.5089672602588,9.38772758489253,16.1980460480953,13.1358002347916,14.1564550630013,11.3882018499143,13.4521877975252,15.5453370168936,6.620762441136,5.79573175448652,6.17576041747958,7.67774215188351,10.136322334439,6.35838143729105,8.06229522087751,11.4440277227387,8.83734933510461,26.9520972128139,24.1315380284513,25.9535252376353,28.0223795191309,27.0264275571568,28.1879478227356,26.093016980994,24.2251685684489,20.7653526112364,17.7008187713798,15.9099289547712,22.7404268624066,18.6291785985808,22.5134516689987,17.357755184984,11.5398689294789,13.9450056033048,13.9972684184292
0.55,18.0488338666932,14.4622408891205,19.477643934176,16.6932124488803,13.4119917660135,16.423440717088,13.0137913708414,18.8035660232605,16.8133561605009,11.9114047421906,22.7482141163791,18.4766829029581,20.6188950246799,16.9276199595985,15.4314408123521,22.6966666953748,20.5446818936041,17.9930596536879,7.84087307756955,9.47745820452123,7.69361651038147,14.2759210403455,11.4057380684065,12.2196076203933,9.66346995409238,11.2790297826542,13.9296882372426,4.88471653831139,4.59909525464082,4.74908200664636,5.9067300022298,8.17963027622186,4.83146268901166,6.68791335927172,9.65586524262407,6.86263246811261,24.8520663376693,22.1431144896553,22.7539441644896,25.9312252179311,24.8884333000371,26.2053579971327,23.5566293900694,21.4630176396784,17.1188857159266,15.3998439434142,14.1274928641596,19.8648817095863,15.9719246803152,20.3700251247972,14.9347375098839,8.88246058720554,12.0540840684004,12.3135849086871
0.66,16.3257084029191,12.7491919479452,17.536054612026,14.8017400356277,11.6263937929071,14.8817561642053,11.5181466220668,16.4345300382123,14.9018670175022,10.86102894601,20.8314654437327,16.8466062535687,19.2850341256817,15.4476795781791,14.3147762369008,21.0464517290262,18.7020848943424,16.1947094989145,6.49867487535286,7.92476098854905,6.38773317234585,12.5878038871599,9.95966798451598,10.5864198757632,8.21455589895222,9.52705573063003,12.5048594666532,3.68737660675089,3.7359905617389,3.73546961499228,4.58120744630276,6.60384605856506,3.7312237802928,5.65989588638524,8.19211203074188,5.45700515493704,22.9189504675152,20.4083429381095,19.9872026757759,23.9992681590498,22.9779850455196,24.4071121788643,21.3569498392662,19.0979517038164,14.1792925458855,13.2920998082634,12.5550666699682,17.2481247269161,13.5322975461224,18.2857709056826,12.7207386018182,6.81539697255989,10.3756777146785,10.8657271269582
0.77,14.8570742259764,11.3409262325675,15.8460166472762,13.2051546468534,10.1675359855147,13.5677921646578,10.2777277633004,14.4688635640012,13.3093345726226,9.96447199751733,19.1054085936241,15.4240627103992,18.0742187147172,14.11314214696,13.3293648167547,19.5907901229489,17.1088680106132,14.6827511408802,5.52037860238246,6.75370673478588,5.3983920645326,11.1291780322471,8.77051650264696,9.23162967040523,7.0222601025295,8.13801279285138,11.2588371588591,2.89253248017646,3.12511229732063,3.0353010375693,3.63114896954913,5.38399475103137,2.96973333704692,4.90262558542635,7.01602554780544,4.480661878201,21.150392893095,18.8999202432503,17.6282048363394,22.2225560718367,21.2789528984265,22.7841886008231,19.462550686122,17.0831584402997,11.8587933875521,11.4127166352806,11.1864139915408,14.9190341675539,11.3725102071412,16.3017880067503,10.7633772058263,5.28600716993943,8.92403171195637,9.63904639273598
0.88,13.6139582250198,10.1894147837004,14.3895673079945,11.8709340350102,8.98829689982234,12.4555198616159,9.25833089023406,12.8608243423308,11.9934470391692,9.20155787284381,17.5650108110345,14.1911930476242,16.9829094912639,12.92671652219,12.4666604096081,18.3154735877769,15.7397939768711,13.4205903662347,4.81246883447306,5.87548877946692,4.65579307030648,9.88670256624153,7.80442861890473,8.1219829338292,6.05780160980061,7.04925658631607,10.1767565590935,2.37376082159594,2.69504254030412,2.5571624474614,2.96905593193622,4.46770445609937,2.4543321778934,4.34744084382516,6.0832933398989,3.80820956814932,19.54194674267,17.5896355866754,15.6395750975205,20.5958197420755,19.7726478458386,21.3249393257162,17.8392391010553,15.3721522342429,10.054442890959,9.78281454204964,10.0088393625374,12.8918113593469,9.52982615361113,14.4568848294808,9.0899401145498,4.19672843878917,7.69866555167062,8.61149554384845
0.99,12.5658082861721,9.24976209996376,13.1438077425253,10.7632424611172,8.04025752962243,11.5175081804493,8.42498471222466,11.5576063671176,10.9109835191883,8.55270843627915,16.2008293368273,13.1278831268213,16.004834015146,11.8849302189106,11.7158544458277,17.2036788537357,14.5681310414624,12.370933225917,4.2992908875896,5.21601963130378,4.09920800915721,8.84040223834541,7.0254918595631,7.22082344288126,5.28728647394929,6.20077624038177,9.24212549240059,2.0345415215262,2.39044224569657,2.22965023221497,2.51301201643797,3.79198457739589,2.1072752858523,3.93872649136574,5.3487201080419,3.34259391565378,18.0871874995206,16.4502255351518,13.9767655960493,19.1126714818241,18.4393212765512,20.0161062876131,16.4524396105478,13.9211260397579,8.66307480361576,8.40599521324115,9.00501008997017,11.1641003597424,8.01052262472066,12.7823827776299,7.70302461392178,3.43785787492671,6.68566000716445,7.75716686425651
