site,shoot_count_mean,ag_biomass_wet_mean,bg_biomass_wet_mean
Konski,1335.0449293966624,324.9037227214377,491.3825417201541
Ribka,1439.0243902439024,685.173299101412,627.04749679075735
Gradina,2150.192554557125,520.012836970475,556.803594351733
