species,PO4,seston,LUSI,gravel
Melinna palmata,75.35481731826167,8.304633273607863,18.342318581045447,0.08834168851464597
Anadara kagoshimensis,67.79051527358811,11.289147396326683,0.004613259459233632,0.5350569745941414
Heteromastus filiformis,55.65762146995513,2.532514489580393,49.678302161295676,0.5608553650569092
Prionospio cirrifera,48.371412730787284,2.0744165764353966,0.1291385283654165,2.256070236950535
Lagis koreni,48.067235771044054,0.03558885621775687,10.321538908776787,4.239445240727946e-5
Iphinoe tenella,38.24075658683246,3.3810208179748997,0.003990358282749185,1.713328346070199
Spisula subtruncata,34.27203426145462,16.927863278925045,3.746352948512367,7.442061989467135
Polydora ciliata,33.46999021308042,12.044456923897414,3.2470934737448545,0.0355601309894098
Chamelea gallina,27.316472086399415,5.647349593411434,0.4829016321196491,65.63955222235546
Bittium reticulatum,22.78373616445873,8.190052435043413,10.332985825702934,4.314595045621161
Leiochone leiopygos,20.55399048493318,2.7734221477063983,6.644246217063042,0.07582109706237361
Lucinella divaricata,19.259452517506844,6.4102654883876085,0.08282345578750494,1.3895602309714974
Magelona papillicornis,19.059043773717363,7.07895389692024,0.1976357488190672,12.72349251626978
Cytharella costulata,16.556175407794278,0.6441906107250404,1.8104407173173769,0.6371706404707922
Sabellaria taurica,16.32660255044858,0.023734705864988825,3.4940518485626626e-5,1.2387400047520316
Rapana venosa,16.326602550444175,0.023734705887399343,3.494047829732949e-5,1.2387400047298378
Lentidium mediterraneum,16.23188246624872,1.0922435409756304,0.4950337302246055,29.92570912323697
Paradoneis harpagonea,16.020999853629224,0.00651216015355871,0.0025359846713541856,2.3448313861328245
Loripes orbiculatus,14.870959243490887,0.003653516869462692,5.210339755600813,15.597568324086133
Parvicardium exiguum,14.429941566368,4.533394492233924,14.208772032344228,3.9034520098652195
Melita palmata,14.255371591563332,52.56756660357328,0.003322987575685943,2.665310817314463
Streptosyllis bidentata,14.133303465799443,58.51456017199624,0.0030507483568840144,2.1986741255790676
Phoronida,14.128398145617979,11.122855649572202,0.17059770910698546,1.1216915209335951
Polycirrus jubatus,14.045827438980126,48.84991138515339,0.00307838871052013,0.010001504511819803
Pseudocuma longicorne,13.533423240864607,30.860013048770895,2.3240199340093,23.077635597571458
Perioculodes longimanus,13.282664762353988,0.27912200753993943,0.30544623374638036,0.07958396085729191
Oligochaeta,12.804148029151406,4.742731050241218,15.156904285318035,59.353973570961614
Ampelisca diadema,12.591581385180405,12.68515674404,6.688160867471652,2.944052565680977e-4
Kellia suborbicularis,12.137452443908579,0.5064726796520773,0.00330506351077986,11.018282995310127
Donax venustus,11.662509009215633,2.4412712398578122,0.011430759549774905,14.52185270573895
Amphibalanus improvisus,11.462124769307238,0.3398298313290695,0.013854266213684241,0.1159240147631806
Brachynotus sexdentatus,11.29840029033808,0.049999086662346315,0.002523860237147346,4.270639856921278
Syllis hyalina,11.198692816899637,28.91376673746538,0.002592397516863798,0.017770211537943226
Schistomeringos rudolphi,11.176121123447714,22.837875673658523,9.80383803906193e-4,0.6783886630124982
Micromaldane ornithochaeta,10.809322243982209,2.7735477005270113,0.009494432975415634,2.6079716741930596
Acari,10.498478360783992,0.45760833674586365,0.7937531140120342,42.91580092762712
Mytilaster lineatus,9.875995823958348,0.3063529267898417,1.9563965342486966,0.23404046787653954
Genetyllis tuberculata,9.747741591899157,13.775456509529363,6.679072550923593e-4,0.004606686046443542
Tritia neritea,9.737884541854214,1.5165517246367415,0.00730783338424601,13.682371703686158
Microdeutopus versiculatus,9.280496707418479,0.5920116428104052,8.370317414711337,32.401482191558074
Polycirrus caliendrum,8.778395475097042,20.577603893495933,0.0031272834912101644,17.013871570703785
Microphthalmus sp.,8.692122535452633,1.4011148031863456,0.2642232222907879,0.003238344068122956
Spio filicornis,8.140654825820889,0.5835690079109384,1.042130007367021,31.162254565022465
Tellina fabula,7.845542970686157,0.006101650872190945,0.0023944401834850026,6.753100329115709
Cerastoderma edule,7.707879575646178,0.005803902090747215,0.002293904683584813,5.724366465300513
Monocorophium insidiosum,7.646025970857972,0.006103301128996819,0.002394635152906943,5.65030892817882
Aricidea claudiae,7.632963973588396,0.022942607051666286,3.391981669764732e-5,0.5168167363291367
Tritia reticulata,7.577649395328727,4.395529962181605,1.4468901861403864,0.605624335516417
Harmothoe imbricata,7.571699996832489,0.025193861901026793,3.6507601549828905e-5,2.565263305242656
Eurydice dollfusi,7.553233444849923,2.501599094750844,46.86890157241896,2.4827561057499565
