station,year,shoot_count_mean,ag_biomass_wet_mean,bg_biomass_wet_mean
Poda,2013,2092.4261874197687,773.5301668806162,202.15661103979463
Poda,2014,1838.254172015404,639.1014120667522,236.66238767650833
Otmanli,2013,2012.836970474968,469.6277278562259,658.3825417201541
Otmanli,2014,1427.4711168164315,431.6816431322208,487.214377406932
Vromos,2014,1905.0064184852374,540.5134788189987,647.7021822849807
Gradina,2013,1170.7317073170732,701.6944801026957,532.4775353016688
Gradina,2014,1483.95378690629,722.002567394095,1430.6290115532734
Ropotamo,2013,2115.5327342747114,784.6726572528883,670.0641848523749
